ZONA|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
Amazonía|285.0|0.391|50.0|22.0|53.0|20.0|6.0|23725
Insular|290.0|0.459|53.0|21.0|51.0|21.0|8.0|894
Pacífica|313.0|0.051|56.0|13.0|44.0|29.0|14.0|54080
Caribe|292.0|0.076|52.0|20.0|50.0|22.0|8.0|169487
Orinoquia|308.0|0.178|56.0|13.0|46.0|30.0|12.0|13071
Andina|310.0|0.105|55.0|13.0|45.0|29.0|13.0|392997
Todas las zonas|301.0|0.167|53.0|16.0|48.0|26.0|10.0|1308508
