ZONA|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
Todas las zonas|290.0|0.169|56.0|48.0|28.0|14.0|9.0|1308732
Amazonía|272.0|0.374|52.0|60.0|25.0|9.0|5.0|23716
Insular|267.0|0.510|55.0|64.0|24.0|7.0|5.0|894
Pacífica|294.0|0.051|58.0|46.0|28.0|15.0|11.0|54104
Caribe|279.0|0.085|55.0|55.0|26.0|12.0|7.0|169540
Orinoquia|303.0|0.178|60.0|38.0|32.0|18.0|12.0|13068
Andina|299.0|0.108|58.0|42.0|30.0|16.0|11.0|393044
