MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
66572|Pueblo Rico|Risaralda|265|0,561|49|69|17|8|6|310
05576|Pueblorrico|Antioquia|285|1,735|52|50|32|14|4|121
47570|Puebloviejo|Magdalena|291|0,969|80|52|20|13|15|524
68572|Puente Nacional|Santander|320|0,408|62|26|35|23|17|296
52573|Puerres|Nariño|307|0,867|49|30|38|24|9|141
86568|Puerto Asís|Putumayo|288|0,459|57|48|32|13|8|1322
05579|Puerto Berrío|Antioquia|272|0,51|57|59|27|10|5|633
15572|Puerto Boyacá|Boyacá|289|0,408|56|50|28|13|9|989
86569|Puerto Caicedo|Putumayo|294|1,071|56|47|27|17|10|231
99001|Puerto Carreño|Vichada|282|0,714|50|54|30|11|5|412
08573|Puerto Colombia|Atlántico|299|0,663|62|46|26|15|14|707
50450|Puerto Concordia|Meta|286|0,918|48|44|39|15|2|185
23574|Puerto Escondido|Córdoba|282|0,51|53|50|31|15|5|579
50568|Puerto Gaitán|Meta|272|0,51|53|60|27|8|5|669
86571|Puerto Guzmán|Putumayo|289|1,122|53|45|35|16|5|415
23580|Puerto Libertador|Córdoba|263|0,408|49|69|22|6|3|929
50577|Puerto Lleras|Meta|272|1,429|55|58|31|8|4|167
50573|Puerto López|Meta|294|0,612|58|42|34|16|8|682
05585|Puerto Nare|Antioquia|284|1,071|58|50|31|13|5|226
91540|Puerto Nariño|Amazonas|236|0,765|34|89|11|0|0|149
68573|Puerto Parra|Santander|260|0,765|48|70|21|8|1|148
18592|Puerto Rico|Caquetá|291|0,765|58|46|35|11|8|558
50590|Puerto Rico|Meta|277|1,02|55|57|27|10|6|262
81591|Puerto Rondón|Arauca|312|1,224|65|30|39|15|16|69
25572|Puerto Salgar|Cundinamarca|310|0,969|64|35|32|19|14|287
54553|Puerto Santander|Norte De Santander|261|0,765|46|70|20|8|1|159
91669|Puerto Santander|Amazonas|257|0|46|68|23|9|0|22
19573|Puerto Tejada|Cauca|269|0,612|47|63|24|10|3|717
05591|Puerto Triunfo|Antioquia|305|1,071|62|39|30|18|14|300
68575|Puerto Wilches|Santander|266|0,51|56|65|22|9|4|726
25580|Pulí|Cundinamarca|310|2,092|55|30|42|9|18|33
52585|Pupiales|Nariño|330|0,663|58|22|32|25|20|217
19585|Puracé|Cauca|291|1,071|52|43|36|13|9|201
73585|Purificación|Tolima|267|0,459|53|65|24|8|4|380
23586|Purísima|Córdoba|289|0,663|64|51|28|12|9|280
17513|Pácora|Caldas|304|1,378|63|34|36|18|11|196
15514|Páez|Boyacá|344|1,786|65|14|32|26|28|50
68533|Páramo|Santander|320|1,173|55|21|40|28|10|89
25592|Quebradanegra|Cundinamarca|305|2,704|67|37|37|16|11|74
25594|Quetame|Cundinamarca|341|1,173|59|17|32|28|24|101
27001|Quibdó|Chocó|278|0,255|58|56|26|11|7|2450
63594|Quimbaya|Quindio|308|1,684|66|32|33|21|14|376
66594|Quinchía|Risaralda|286|0,51|56|47|32|13|8|487
25596|Quipile|Cundinamarca|307|0,867|61|34|29|24|13|102
15580|Quípama|Boyacá|290|0,612|65|43|36|9|12|109
54599|Ragonvalia|Norte De Santander|302|0,51|57|36|37|19|8|102
15599|Ramiriquí|Boyacá|311|0,663|59|31|35|22|12|196
85279|Recetor|Casanare|293|0|43|30|50|20|0|10
13580|Regidor|Bolívar|245|1,173|46|78|16|4|2|123
05604|Remedios|Antioquia|270|0,765|55|62|26|8|4|613
47605|Remolino|Magdalena|251|0,459|43|81|15|4|1|128
08606|Repelón|Atlántico|250|0,561|44|78|16|5|2|435
