MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
25658|San Francisco|Cundinamarca|306|0|60|13|45|33|9|141
86755|San Francisco|Putumayo|319|1,48|57|4|47|32|17|113
68679|San Gil|Santander|348|0,408|61|5|32|34|30|923
13654|San Jacinto|Bolívar|301|0,663|60|18|47|26|9|469
13655|San Jacinto del C|Bolívar|269|0,714|43|26|60|13|1|198
05656|San Jerónimo|Antioquia|325|1,276|58|8|40|34|18|198
68682|San Joaquín|Santander|326|0|42|7|34|43|16|44
17665|San José|Caldas|314|1,071|41|4|53|35|7|68
68684|San José de Miran|Santander|339|0|62|10|33|33|25|52
15664|San José de Pare|Boyacá|311|1,02|68|18|42|20|21|77
05658|San José de la Mo|Antioquia|317|2,857|51|7|41|43|9|54
18610|San José del Frag|Caquetá|295|1,02|54|16|51|27|7|274
95001|San José del Guav|Guaviare|294|0,459|52|17|54|23|6|1051
27660|San José del Palm|Chocó|323|1,48|57|3|41|41|14|87
13657|San Juan Nepomuce|Bolívar|297|0,51|55|20|46|26|8|569
50683|San Juan de Arama|Meta|315|1,378|56|9|40|39|12|150
70702|San Juan de Betul|Sucre|290|0,561|54|17|55|23|6|238
25662|San Juan de Río S|Cundinamarca|338|1,327|60|7|32|35|27|139
05659|San Juan de Urabá|Antioquia|266|0,663|45|30|57|13|0|595
44650|San Juan del Cesa|La Guajira|312|0,51|53|13|45|27|15|889
50686|San Juanito|Meta|315|3,01|58|13|36|39|13|39
52687|San Lorenzo|Nariño|312|0,663|47|8|47|38|8|306
05660|San Luis|Antioquia|325|1,429|54|5|39|41|15|248
73678|San Luis|Tolima|293|0,714|52|14|55|27|4|255
15667|San Luis de Gacen|Boyacá|309|0|64|13|40|32|15|106
70742|San Luis de Sincé|Sucre|293|0,51|55|18|51|24|8|542
70708|San Marcos|Sucre|281|0,306|49|22|56|19|3|1174
20770|San Martín|Cesar|300|0,459|55|14|53|24|10|525
50689|San Martín|Meta|294|0,867|52|16|55|22|7|453
13667|San Martín de Lob|Bolívar|269|0,765|48|32|52|14|3|344
15673|San Mateo|Boyacá|315|0|64|20|31|41|8|51
68686|San Miguel|Santander|367|1,327|51|3|10|55|33|40
86757|San Miguel|Putumayo|296|0,561|52|14|54|26|7|386
15676|San Miguel de Sem|Boyacá|331|1,888|71|9|34|30|27|67
70713|San Onofre|Sucre|266|0,408|47|31|54|12|3|1099
13670|San Pablo|Bolívar|279|0,51|49|22|57|19|2|547
52693|San Pablo|Nariño|323|0,561|44|2|50|33|14|207
15681|San Pablo de Borb|Boyacá|311|0,867|60|14|38|36|12|115
70717|San Pedro|Sucre|300|0,408|53|13|54|26|7|330
76670|San Pedro|Valle Del Cauca|317|1,276|61|14|38|31|17|224
52694|San Pedro de Cart|Nariño|310|1,378|51|10|50|33|7|94
05665|San Pedro de Urab|Antioquia|288|0,561|51|18|54|25|4|809
05664|San Pedro de los|Antioquia|316|0,51|58|10|45|31|14|458
23686|San Pelayo|Córdoba|287|0,408|51|21|52|21|6|692
05667|San Rafael|Antioquia|314|0,918|58|9|46|34|11|240
05670|San Roque|Antioquia|318|0,663|60|11|42|33|15|315
19693|San Sebastián|Cauca|304|0,663|49|12|48|31|9|146
47692|San Sebastián de|Magdalena|290|1,071|48|16|55|24|5|353
05674|San Vicente|Antioquia|311|0,765|56|10|47|31|12|281
68689|San Vicente de Ch|Santander|316|0,663|59|11|43|33|14|565
18753|San Vicente del C|Caquetá|292|0,612|50|17|53|26|5|1088
47703|San Zenón|Magdalena|275|0,306|49|27|55|16|3|246
52683|Sandoná|Nariño|312|0,918|53|13|41|35|12|305
47707|Santa Ana|Magdalena|270|1,071|46|28|58|13|2|320
05679|Santa Bárbara|Antioquia|305|0,51|58|13|50|26|11|359
52696|Santa Bárbara|Nariño|290|2,398|51|22|52|18|9|153
68705|Santa Bárbara|Santander|317|2,755|57|8|47|37|8|38
47720|Santa Bárbara de|Magdalena|278|1,48|47|19|64|14|3|230
13673|Santa Catalina|Bolívar|268|0,765|46|28|56|16|1|290
68720|Santa Helena del|Santander|331|1,531|58|7|39|38|16|89
73686|Santa Isabel|Tolima|316|1,327|59|11|43|33|13|109
08675|Santa Lucía|Atlántico|261|0,867|39|27|65|8|0|234
47001|Santa Marta|Magdalena|303|0,153|55|16|47|27|11|8843
15690|Santa María|Boyacá|314|1,173|55|9|40|42|9|57
41676|Santa María|Huila|318|0,714|56|8|42|38|12|194
13683|Santa Rosa|Bolívar|282|0|48|20|56|22|2|353
19701|Santa Rosa|Cauca|308|0,918|53|15|40|34|11|98
66682|Santa Rosa de Cab|Risaralda|318|0,408|61|10|41|35|14|1148
05686|Santa Rosa de Oso|Antioquia|310|0,51|58|12|45|32|12|702
15693|Santa Rosa de Vit|Boyacá|330|0,816|56|6|38|39|18|163
13688|Santa Rosa del Su|Bolívar|317|0,408|54|8|46|34|12|747
15696|Santa Sofía|Boyacá|309|0|62|11|53|24|11|45
52699|Santacruz|Nariño|323|1,276|45|6|43|36|15|119
05042|Santafé de Antioq|Antioquia|300|0,765|51|14|50|29|7|417
15686|Santana|Boyacá|306|0,408|59|13|46|30|11|170
19698|Santander de Quil|Cauca|304|0,204|55|13|49|29|10|1809
54680|Santiago|Norte De Santander|312|1,429|49|5|51|34|10|59
86760|Santiago|Putumayo|310|1,327|57|14|48|24|14|124
70820|Santiago de Tolú|Sucre|289|0,306|50|20|53|21|7|603
05690|Santo Domingo|Antioquia|309|1,378|59|14|45|29|12|217
08685|Santo Tomás|Atlántico|299|0,51|57|16|49|27|9|331
66687|Santuario|Risaralda|332|1,071|60|6|33|44|18|215
52720|Sapuyes|Nariño|324|0,561|54|7|40|40|14|93
81736|Saravena|Arauca|313|0,408|57|11|45|30|13|1074
54720|Sardinata|Norte De Santander|311|0,612|58|11|48|29|13|513
25718|Sasaima|Cundinamarca|320|0,969|53|11|36|41|12|178
15720|Sativanorte|Boyacá|351|0|46|0|22|50|28|36
15723|Sativasur|Boyacá|320|0|41|9|27|64|0|11
05736|Segovia|Antioquia|290|0,51|53|19|53|22|6|726
25736|Sesquilé|Cundinamarca|313|0,612|55|10|43|35|12|193
76736|Sevilla|Valle Del Cauca|309|0,663|56|13|46|32|10|533
15740|Siachoque|Boyacá|314|0,714|58|9|50|27|15|143
25740|Sibaté|Cundinamarca|321|0,204|57|9|40|37|14|616
86749|Sibundoy|Putumayo|318|0,561|58|9|46|31|14|301
54743|Silos|Norte De Santander|310|1,276|61|14|45|27|15|110
25743|Silvania|Cundinamarca|324|0,408|57|7|40|36|17|346
19743|Silvia|Cauca|280|0,408|47|21|55|19|4|597
68745|Simacota|Santander|306|1,48|57|15|44|31|10|177
25745|Simijaca|Cundinamarca|320|0,714|56|10|40|33|17|244
13744|Simití|Bolívar|294|0,612|50|16|52|26|6|332
70001|Sincelejo|Sucre|307|0,153|54|14|47|28|12|5083
27745|Sipí|Chocó|274|0,663|36|20|68|10|1|69
47745|Sitionuevo|Magdalena|266|0,714|46|34|51|11|4|473
25754|Soacha|Cundinamarca|322|0,102|58|9|39|35|16|9735
15753|Soatá|Boyacá|324|0,918|57|10|36|38|17|120
15757|Socha|Boyacá|314|0,918|55|8|43|38|10|155
68755|Socorro|Santander|339|0,51|60|6|32|38|24|466
15755|Socotá|Boyacá|320|0,918|65|8|45|29|18|143
15759|Sogamoso|Boyacá|343|0,204|58|4|33|37|26|2236
18756|Solano|Caquetá|287|1,02|45|21|52|25|3|233
08758|Soledad|Atlántico|322|0,102|56|11|39|30|19|8659
18785|Solita|Caquetá|294|1,939|56|16|53|23|7|116
15761|Somondoco|Boyacá|329|2,602|55|6|39|39|15|33
05756|Sonson|Antioquia|310|0,561|61|12|45|31|12|482
05761|Sopetrán|Antioquia|310|0,459|54|10|47|33|10|232
13760|Soplaviento|Bolívar|263|0,867|49|33|55|11|2|104
25758|Sopó|Cundinamarca|343|0,408|59|5|35|32|28|410
15762|Sora|Boyacá|303|2,296|70|13|46|24|16|67
15764|Soracá|Boyacá|336|1,02|58|5|34|42|19|137
15763|Sotaquirá|Boyacá|313|0,816|54|9|48|32|12|122
19760|Sotara|Cauca|299|1,582|49|12|54|30|4|131
68770|Suaita|Santander|329|1,327|63|6|45|31|19|182
08770|Suan|Atlántico|287|0,51|50|19|55|24|3|172
