COD_DANE|EVALUADOS|PARTICIPANTES|COPIA|PESO|PROMEDIO|ERROR_ESTANDAR|DESVIACION|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
350400000761|17|17|0|17|289|0|90|59|18|18|6
152001000718|84|84|1|73|298|0|55|41|34|19|6
350313000771|20|20|0|20|303|2,60204|53|35|45|5|15
152051000387|25|25|0|25|271|0|53|56|32|12|0
352001006677|9|9|0|9|323|0|34|0|56|44|0
252051000462|1|1|0|1|435||0|0|0|0|100
252079001855|3|3|0|3|232|0|29|100|0|0|0
252001003380|84|84|0|80|314|0|57|28|38|23|13
252051000527|10|10|0|10|346|7,19388|75|0|70|10|20
252051000578|9|9|0|8|346|0|119|25|38|13|25
352001000814|71|71|0|70|357|1,37755|70|14|24|29|33
152001001706|97|97|0|94|315|1,07143|61|26|38|20|16
152001002711|184|184|1|161|259|0,35714|46|68|25|6|1
252019000019|2|2|0|2|415|0|30|0|0|0|100
252079000191|12|12|0|12|230|0|41|83|17|0|0
252019000272|13|13|0|13|305|0|55|23|62|0|15
252079000468|2|2|0|2|298|24,7449|61|50|0|50|0
152001004209|65|65|1|61|292|2,65306|68|51|28|5|16
252001000097|17|17|0|17|250|0|34|88|6|6|0
252079001073|8|8|0|8|236|0|11|100|0|0|0
252079001081|2|2|0|2|258|0|89|50|50|0|0
252079001235|3|3|0|3|216|9,79592|27|100|0|0|0
252001000470|78|78|0|78|280|1,47959|54|54|30|12|5
252079001472|6|6|0|6|288|0|38|50|50|0|0
252215000477|1|1|0|1|335||0|0|0|100|0
152001001277|38|38|1|38|324|1,37755|68|24|29|26|21
252203000293|3|3|0|3|256|0|84|33|67|0|0
252224000145|24|24|0|24|288|5,30612|54|58|17|17|8
252233000204|11|11|0|11|284|9,03061|65|55|27|9|9
252203000307|13|13|1|13|322|0|58|23|39|23|15
252203000315|6|6|0|6|306|5,40816|35|17|67|17|0
252224000196|7|7|0|7|317|14,54082|54|14|43|29|14
252110000099|2|2|0|2|324|0|68|50|0|50|0
252203000382|2|2|0|2|256|0|3|100|0|0|0
252110000170|14|14|1|14|329|0|55|14|29|50|7
252207000131|2|2|0|2|321|0|20|0|50|50|0
252227000138|9|9|0|9|350|5,05102|48|11|33|22|33
252110000293|3|3|0|3|319|0|102|33|33|0|33
252110000391|2|2|0|2|346|0|4|0|0|100|0
252110000447|3|3|0|3|430|0|77|0|0|33|67
252110000471|2|2|0|2|376|0|11|0|0|50|50
252227000316|4|4|0|4|239|0|49|75|25|0|0
552001000055|6|6|0|6|247|0|28|83|17|0|0
252001003657|2|2|0|2|348|0|20|0|0|100|0
252110000765|2|2|0|2|317|0|28|0|50|50|0
252250000692|2|2|0|2|261|19,23469|47|50|50|0|0
252250000722|37|37|0|37|247|6,12245|59|81|16|0|3
252227000979|1|1|0|1|306||0|0|100|0|0
252250000072|40|40|0|40|240|4,89796|57|80|13|8|0
252250000129|21|21|0|21|249|4,13265|34|71|29|0|0
252258000055|5|5|0|4|261|12,09184|61|50|50|0|0
352287000018|56|56|0|51|286|1,53061|48|43|41|14|2
252356000934|1|1|0|1|289||0|0|100|0|0
252317000056|4|4|0|4|259|0|95|75|0|0|25
252352000271|4|4|0|4|247|0|28|100|0|0|0
252352000280|2|2|0|2|343|0|32|0|50|50|0
252356001019|28|28|1|27|305|2,7551|56|37|37|19|7
252317000137|3|3|0|3|303|0|7|0|100|0|0
252317000196|12|12|0|12|268|0|30|83|8|8|0
252317000269|3|3|0|3|325|0|60|0|67|0|33
252356001051|5|5|0|5|336|0|43|20|0|80|0
252317000277|5|5|1|5|297|0|44|20|60|20|0
252317000366|16|16|0|15|322|0|53|27|20|40|13
252250001257|5|5|0|5|200|3,36735|19|100|0|0|0
252258000497|2|2|0|2|347|0|44|0|50|50|0
452317000349|8|8|0|6|342|0|21|0|17|83|0
252260000119|4|4|0|4|331|0|47|0|50|50|0
252260000127|4|4|0|4|356|0|36|0|25|50|25
252260000160|15|15|0|14|365|0|52|7|14|57|21
252320000334|2|2|0|2|377|0|44|0|0|50|50
252320000423|3|3|0|3|403|0|91|0|0|67|33
252260000551|7|7|0|7|347|0|63|14|29|14|43
152323000161|24|24|0|21|320|0|42|10|57|29|5
252356000314|3|3|0|3|222|0|79|67|33|0|0
252256000212|5|5|0|5|311|6,9898|38|20|60|20|0
252256000490|1|1|0|1|283||0|0|100|0|0
252256000511|2|2|0|2|372|0|76|0|50|0|50
252260000852|2|2|0|2|187|0|129|100|0|0|0
252352000077|1|1|0|1|381||0|0|0|100|0
252256000651|2|2|0|2|374|0|23|0|0|50|50
252250000731|2|2|0|2|316|14,18367|35|0|50|50|0
252356001256|1|1|0|1|376||0|0|0|100|0
252378000768|5|5|0|5|384|5|27|0|0|40|60
252356001485|42|42|1|42|255|1,22449|52|67|24|7|2
252427000116|4|4|0|4|285|0|25|50|50|0|0
252427000302|1|1|0|1|402||0|0|0|0|100
252427000311|5|5|0|5|306|0|65|40|20|40|0
352356000033|35|35|0|35|319|0|56|31|23|37|9
252405000279|5|5|0|5|284|0|28|20|80|0|0
252381000442|11|11|0|11|307|0|59|36|27|27|9
252435000133|1|1|0|1|383||0|0|0|0|100
252435000150|2|2|0|2|441|0|9|0|0|0|100
352356000173|183|183|1|179|347|0,45918|61|13|31|31|25
252385005468|17|17|0|15|255|2,39796|40|60|40|0|0
252405000597|1|1|0|1|271||0|100|0|0|0
252405000619|2|2|0|2|253|12,19388|30|100|0|0|0
152411000081|53|53|0|52|327|0|63|27|25|25|23
352356001595|16|16|0|16|347|0|64|6|38|25|31
252250000862|86|86|0|86|229|1,58163|39|91|8|1|0
252411000094|1|1|0|1|283||0|0|100|0|0
252473000805|4|4|0|4|223|0|17|100|0|0|0
252411000191|6|6|0|6|348|0|85|33|17|17|33
252411000388|3|3|0|3|310|0|67|33|33|0|33
252427000728|2|2|0|2|254|0|4|100|0|0|0
252411000531|2|2|0|2|328|0|176|50|0|0|50
252378000067|14|14|1|14|225|0|52|79|21|0|0
252378000083|17|17|0|17|278|0|47|53|41|6|0
252378000121|6|6|0|6|336|10,10204|49|17|33|33|17
252378000130|11|11|0|10|384|0|73|10|10|20|60
252378000245|1|1|0|1|354||0|0|0|100|0
252435000036|10|10|0|10|304|0|41|20|60|10|10
252435000061|1|1|0|1|299||0|0|100|0|0
252435000079|7|7|0|7|324|0|46|14|43|43|0
252435000087|9|9|1|9|351|0|89|33|11|11|44
252378000393|3|3|0|3|333|0|47|0|67|0|33
152473000517|63|63|0|63|252|3,0102|48|78|19|2|2
252399000270|11|11|0|11|339|0|76|18|18|55|9
252678001014|1|1|0|1|376||0|0|0|100|0
252573000039|4|4|0|4|351|4,69388|21|0|25|75|0
252573000179|6|6|0|6|349|0|33|0|33|67|0
252621000542|6|6|0|6|354|15,96939|58|0|33|50|17
252683000093|8|8|0|8|318|0|45|13|50|25|13
252540000114|1|1|0|1|301||0|0|100|0|0
252573000195|12|12|0|12|333|0|61|17|42|25|17
252573000241|1|1|0|1|436||0|0|0|0|100
252573000276|3|3|0|3|289|0|34|33|67|0|0
252573000365|1|1|0|1|373||0|0|0|100|0
252540000556|6|6|0|6|263|0|47|50|50|0|0
252678000191|2|2|0|2|404|0|61|0|0|50|50
252560000021|2|2|0|2|377|8,87755|22|0|0|50|50
252585000409|3|3|0|3|258|0|55|67|33|0|0
252560000072|4|4|0|4|285|0|16|25|75|0|0
252612000084|1|1|0|1|266||0|100|0|0|0
252560000285|3|3|0|3|316|17,09184|47|0|67|33|0
252612000114|5|5|0|5|234|0|29|100|0|0|0
252612000335|1|1|0|1|289||0|0|100|0|0
252678000689|2|2|0|2|370|0|51|0|50|0|50
252612000971|4|4|0|4|226|4,79592|17|100|0|0|0
252678000794|1|1|0|1|260||0|100|0|0|0
252565000020|4|4|0|4|267|0|14|75|25|0|0
252788000072|2|2|0|1|100|0|0|100|0|0|0
252788000081|2|2|0|2|348|0|37|0|50|50|0
252788000129|1|1|0|1|307||0|0|100|0|0
252788000161|1|1|0|1|416||0|0|0|0|100
252683000387|4|4|0|4|284|0|40|50|25|25|0
252683000484|2|2|0|2|281|0|100|50|0|50|0
252699000484|1|1|0|1|419||0|0|0|0|100
252693000211|2|2|0|2|427|0|47|0|0|0|100
252788000595|3|3|0|3|288|0|17|33|67|0|0
252019000337|48|48|0|45|337|1,83673|44|11|36|38|16
152835003561|161|161|0|161|243|0|54|84|11|3|3
252720000163|9|9|0|8|275|0|40|50|50|0|0
152786000160|64|64|0|64|317|1,58163|60|25|41|20|14
152835000731|135|135|1|135|238|1,32653|39|90|9|1|1
252051000098|7|7|0|7|329|0|35|0|71|14|14
252687000179|13|13|0|11|294|0|63|46|36|9|9
252051000411|9|9|0|9|299|8,06122|57|56|11|22|11
252786000113|2|2|0|2|386|0|11|0|0|50|50
252835000060|20|20|0|20|234|0|41|90|5|5|0
252687000306|16|16|1|16|266|0|43|63|25|13|0
252786000296|4|4|0|4|325|0|55|25|0|75|0
152835004567|196|196|0|196|240|0,86735|39|84|15|1|0
252696000629|3|3|0|3|266|0|102|67|0|33|0
252687000641|7|7|0|7|306|0|57|43|29|14|14
252687000667|4|4|0|4|250|6,17347|28|75|25|0|0
252696000653|7|7|0|7|307|0|56|29|57|0|14
252835004880|94|94|0|93|238|1,32653|38|85|13|2|0
252835005398|16|16|0|16|247|4,94898|38|75|25|0|0
252838000583|5|5|0|5|308|0|69|40|40|0|20
154001009009|376|376|0|376|324|0,61224|66|24|33|23|20
352835001605|138|138|0|138|262|0,61224|59|69|20|6|5
252838000982|1|1|0|1|500||0|0|0|0|100
252838001032|2|2|0|2|397|0|91|0|50|0|50
154001002977|141|141|1|110|313|0,5102|57|25|42|22|12
252835000523|7|7|0|7|314|0|76|29|29|29|14
352835004477|42|42|0|41|307|1,58163|67|37|24|29|10
352835004906|13|13|0|12|317|5,45918|52|17|58|8|17
252838001377|1|1|0|1|332||0|0|100|0|0
154001004295|109|109|0|109|324|1,53061|66|25|43|15|17
252885000141|17|17|1|16|270|6,32653|58|56|25|19|0
252835002267|17|17|0|17|278|0|77|53|24|12|12
452835007748|3|3|0|3|390|0|22|0|0|67|33
252835003247|14|14|0|14|247|3,36735|35|86|14|0|0
252835003662|32|32|0|32|289|3,06122|68|50|19|25|6
252838000346|6|6|0|6|224|5,5102|36|100|0|0|0
154001009467|388|388|0|388|312|0,56122|63|31|37|17|14
354001003158|7|7|0|7|344|0|98|29|29|14|29
354001008761|4|4|0|4|434|0|26|0|0|0|100
454001011571|4|4|0|4|274|0|30|50|50|0|0
854874000001|7|7|0|6|308|0|47|33|33|17|17
154003001668|123|123|1|123|285|0|65|48|29|17|6
354001005550|37|37|1|37|307|4,28571|69|41|22|24|14
354001009458|25|25|0|25|349|0|59|16|24|32|28
354001009506|19|19|0|19|275|0|79|63|16|16|5
254003000330|30|30|0|30|328|0|65|13|47|23|17
254003000381|7|7|0|7|359|2,5|61|0|29|57|14
354001006106|8|8|0|8|387|11,02041|70|0|25|13|63
354001011181|18|18|0|18|374|0|94|17|33|0|50
354001000400|42|42|0|42|379|2,29592|69|5|21|31|43
254125000101|17|17|0|17|293|0|60|47|35|12|6
154128000019|32|32|0|32|338|3,72449|57|9|38|34|19
354001006955|2|2|0|2|269|0|52|50|50|0|0
254003001611|37|37|1|37|273|2,90816|79|62|16|14|8
354001012009|6|6|0|6|348|0|40|0|33|33|33
354001000558|51|51|0|51|358|0|71|16|18|28|39
354001007439|17|17|0|17|346|3,87755|68|12|24|35|29
354001007463|17|17|0|17|372|0|66|6|24|12|59
354001001520|7|7|0|7|395|0|72|0|29|29|43
354001007897|6|6|0|4|294|0|56|50|0|50|0
254223000691|21|21|0|21|325|3,11224|60|29|29|29|14
354518001465|30|30|0|30|375|0|58|0|27|37|37
254520000056|26|26|0|26|296|3,57143|49|35|46|15|4
254245000041|43|43|0|43|334|2,55102|65|19|37|19|26
154498000085|167|167|0|165|315|0,86735|64|35|27|24|14
154398000339|23|23|0|23|326|2,5|58|17|44|22|17
154498001928|269|269|0|269|318|0|59|26|34|28|13
254670000445|33|33|0|33|303|1,78571|60|39|30|21|9
254498000691|40|40|0|40|335|0,61224|73|23|25|25|28
154261000013|141|141|0|141|274|1,32653|59|56|32|6|6
254172000233|20|20|0|20|293|4,03061|49|40|40|15|5
354172000432|11|11|1|11|356|0|69|9|36|18|36
354498002265|5|5|0|5|368|0|39|0|20|40|40
354405000276|8|8|0|8|361|0|31|0|25|50|25
254206000041|62|62|0|61|293|0,86735|55|44|31|20|5
354874000783|15|15|0|15|372|0|50|0|27|33|40
154377000207|28|28|0|28|320|2,34694|66|29|25|29|18
254377000317|37|37|0|36|320|2,7551|61|28|33|19|19
254670000364|49|49|2|46|273|6,47959|72|63|20|11|7
254810001013|90|90|1|90|294|0,15306|49|38|41|17|4
363001001812|12|12|0|12|291|0|51|50|25|25|0
254810002265|35|35|0|35|264|3,26531|52|57|34|9|0
254673000039|93|93|0|93|300|0,71429|68|42|34|11|13
163001000515|117|117|0|112|271|1,17347|50|58|32|9|1
254820000368|39|39|0|39|330|0|51|18|33|33|15
254820000384|30|30|0|30|326|3,36735|58|27|33|27|13
254720001197|31|31|0|31|285|2,80612|88|61|7|19|13
363001002185|15|15|0|15|339|4,89796|76|20|33|20|27
163001002127|99|99|0|99|278|1,27551|47|47|42|9|2
463001002813|66|66|0|66|356|1,32653|63|11|29|23|38
363001002533|17|17|0|14|285|3,82653|61|64|29|0|7
254874001050|143|143|1|143|292|1,73469|70|43|34|13|11
166001000310|70|70|0|68|343|1,47959|60|15|31|29|25
166001004625|191|191|0|191|288|0|63|51|23|19|7
166001000395|25|25|0|24|283|3,92857|71|54|21|21|4
163401000298|56|56|0|55|324|2,70408|64|26|33|26|16
166001000476|119|119|0|1|332|0|0|0|100|0|0
166001006059|86|86|0|86|292|2,2449|65|36|34|24|6
366001000742|77|77|0|77|371|2,34694|83|13|20|22|46
166001000786|152|152|1|152|298|1,17347|63|42|32|20|7
166001000794|100|100|0|99|304|0,61224|62|36|33|21|9
166001007136|87|87|1|84|285|1,17347|52|48|37|11|5
263130000925|136|136|1|136|294|2,09184|63|46|30|13|11
166001002339|151|151|0|151|305|0,91837|64|34|36|16|13
266001001752|84|84|0|84|268|1,88776|56|61|24|11|5
363001002983|24|24|0|24|368|4,28571|76|8|21|42|29
363001002916|2|2|0|2|420|0|49|0|0|0|100
163272000278|41|41|0|41|255|2,65306|51|76|20|2|2
166001000026|84|84|1|84|271|1,22449|56|54|36|8|2
266440000100|37|37|0|33|313|1,73469|60|30|36|18|15
466001005871|25|25|0|25|356|2,65306|68|12|28|24|36
266456000584|33|33|0|33|270|1,42857|62|64|18|9|9
166572000015|59|59|1|58|315|0|59|31|35|19|16
366001004730|19|19|0|19|340|4,28571|61|16|21|37|26
266572000061|89|89|0|89|227|0|34|93|7|0|0
366001005442|3|3|0|3|392|17,34694|48|0|0|67|33
166075000010|44|44|0|44|289|1,83673|46|52|32|11|5
366170002002|6|6|0|6|483|0|72|0|0|0|100
366170002321|2|2|0|2|349|0|43|0|50|50|0
266682000457|157|157|0|156|306|0|66|37|35|17|12
266572001245|79|79|1|79|236|1,78571|40|92|6|0|1
366001006112|17|17|0|17|392|2,85714|50|0|12|29|59
366001006139|14|14|0|13|271|8,0102|82|69|15|8|8
166318000030|37|37|0|37|313|1,17347|51|30|38|22|11
366001006686|53|53|0|53|387|1,07143|57|4|13|34|49
266682000465|97|97|0|96|303|2,80612|59|40|32|19|9
166170000116|123|123|0|123|324|0|57|20|41|22|18
166170000159|140|140|1|140|320|1,22449|57|24|40|22|14
166682001033|150|150|0|150|296|1,12245|70|45|30|13|13
166400000170|58|58|1|55|286|3,06122|52|42|40|15|4
166170000949|130|130|0|130|333|0,66327|63|21|29|29|21
366001007356|17|17|0|17|262|2,90816|51|65|24|12|0
368001005101|9|9|0|9|328|0|83|33|11|22|33
368001007898|1|1|0|1|500||0|0|0|0|100
368001005275|13|13|0|13|455|0|70|0|0|31|69
368001005330|11|11|0|11|417|0|67|0|0|46|55
168001002625|59|59|1|59|313|1,78571|63|32|37|19|12
368001005658|3|3|0|3|500|0|37|0|0|0|100
268020000492|21|21|0|21|338|0|66|14|48|10|29
368001000621|41|41|0|41|315|0|60|24|39|29|7
368001006255|36|36|0|36|450|1,78571|66|0|3|11|86
368001001689|8|8|0|8|383|5,56122|47|0|25|13|63
168001000525|328|328|0|328|316|0,61224|74|32|28|22|19
168001006205|106|106|1|102|320|2,29592|55|24|41|21|15
368001007045|3|3|0|2|277|6,32653|16|50|50|0|0
368001007189|4|4|0|4|310|0|77|25|50|0|25
168001001050|194|194|0|192|311|1,17347|60|31|37|20|13
368001003981|33|33|1|32|333|2,39796|56|13|47|19|22
368001003990|18|18|0|18|347|0|59|17|22|33|28
168001001173|189|189|1|189|288|1,07143|59|47|34|13|6
368001007553|2|2|0|2|289|0|84|50|0|50|0
