ESTU_CONSECUTIVO|GRUPO|N|ESTRATO|APLICACION|GRADO|JORNADA|COD_DANE|ENTETERR|DEPARTAMENTO|MUNICIPIO|SEXO|SECTOR|ZONA|ZONASTAB|CALENDARIO|NIVEL|LENG_COPIETAS|LENG_WEIGHT|LENG_SCORE1|LENG_SCORE2|LENG_SCORE3|LENG_SCORE4|LENG_SCORE5|MATE_COPIETAS|MATE_WEIGHT|MATE_SCORE1|MATE_SCORE2|MATE_SCORE3|MATE_SCORE4|MATE_SCORE5
V201750000001|99|310|0000011|X|5|999999|105001006980|03|05|05001|2|1|1|1|A|3|x|0|0|1|0,49088|0,49088|0,49088|0,49088|0,49088|0|1|-0,96123|-0,96123|-0,96123|-0,96123|-0,96123||||||||||||||
V201750000002|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|-1,14958|-1,14958|-1,14958|-1,14958|-1,14958|0|1|-0,53493|-0,53493|-0,53493|-0,53493|-0,53493||||||||||||||
V201750000003|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|1,85894|1,85894|1,85894|1,85894|1,85894|0|1|1,50073|1,50073|1,50073|1,50073|1,50073||||||||||||||
V201750000004|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|2,23958|2,23958|2,23958|2,23958|2,23958|0|1|2,89346|2,89346|2,89346|2,89346|2,89346||||||||||||||
V201750000005|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|1,00857|1,00857|1,00857|1,00857|1,00857|0|1|2,24069|2,24069|2,24069|2,24069|2,24069||||||||||||||
V201750000006|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|3,13031|3,13031|3,13031|3,13031|3,13031|0|1|2,92946|2,92946|2,92946|2,92946|2,92946||||||||||||||
V201750000007|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|0,72374|0,72374|0,72374|0,72374|0,72374|0|1|0,69975|0,69975|0,69975|0,69975|0,69975||||||||||||||
V201750000008|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|1,7531|1,7531|1,7531|1,7531|1,7531|0|1|0,38771|0,38771|0,38771|0,38771|0,38771||||||||||||||
V201750000009|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|3,53947|3,53947|3,53947|3,53947|3,53947|0|1|3,46779|3,46779|3,46779|3,46779|3,46779||||||||||||||
V201750000010|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|0,04657|0,04657|0,04657|0,04657|0,04657|0|1|1,93526|1,93526|1,93526|1,93526|1,93526||||||||||||||
V201750000011|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|0,85807|0,85807|0,85807|0,85807|0,85807|0|1|1,00684|1,00684|1,00684|1,00684|1,00684||||||||||||||
V201750000012|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|3,01009|3,01009|3,01009|3,01009|3,01009|0|1|2,6225|2,6225|2,6225|2,6225|2,6225||||||||||||||
V201750000013|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|0,77205|0,77205|0,77205|0,77205|0,77205|0|1|1,14794|1,14794|1,14794|1,14794|1,14794||||||||||||||
V201750000014|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|2,31305|2,31305|2,31305|2,31305|2,31305|0|1|2,28387|2,28387|2,28387|2,28387|2,28387||||||||||||||
V201750000015|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|0,62679|0,62679|0,62679|0,62679|0,62679|0|1|1,85353|1,85353|1,85353|1,85353|1,85353||||||||||||||
V201750000016|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|0,59577|0,59577|0,59577|0,59577|0,59577|0|1|-0,24408|-0,24408|-0,24408|-0,24408|-0,24408||||||||||||||
V201750000017|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|2,2766|2,2766|2,2766|2,2766|2,2766|0|1|3,56869|3,56869|3,56869|3,56869|3,56869||||||||||||||
V201750000018|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|2,03278|2,03278|2,03278|2,03278|2,03278|0|1|2,63294|2,63294|2,63294|2,63294|2,63294||||||||||||||
V201750000019|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|0,51517|0,51517|0,51517|0,51517|0,51517|0|1|1,02871|1,02871|1,02871|1,02871|1,02871||||||||||||||
V201750000020|99|194|0000092|X|5|005587|311001090921|12|11|11001|2|2|1|1|A|4|x|0|0|1|1,109|1,109|1,109|1,109|1,109|0|1|2,4455|2,4455|2,4455|2,4455|2,4455||||||||||||||
V201750000021|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|1,81004|1,81004|1,81004|1,81004|1,81004|0|1|-0,34044|-0,34044|-0,34044|-0,34044|-0,34044||||||||||||||
V201750000022|99|194|0000092|X|5|005587|311001090921|12|11|11001|1|2|1|1|A|4|x|0|0|1|1,93163|1,93163|1,93163|1,93163|1,93163|0|1|3,70945|3,70945|3,70945|3,70945|3,70945||||||||||||||
